Mayor,N/A,1 CPS,Town Hall,Adam Zappel
Mechanic,N/A,1 CPS,Arrival Center,Eve Jobs
Engineer,Mayor + Mechanic,2 CPS,Garage or  Utopium Mine,Cameron Shaft
Sheriff,Mayor + Mayor,2 CPS,Sheriff's Office,Chuck Walker
Architect,Mayor + Engineer,1 CPS,Town Hall or  Building Firm,Bill Ding/Renee Saunce
Landscaper,Assistant + Architect,1 CPS,Nursery,Mary Gould/Toby Airey
Deputy,Assistant + Sheriff,1 CPS,Sheriff's Office or  Police Station,Justine Case or  Justin Case
Gardener,Landscaper + Deputy,1 CPS,Greenhouse or  Nursery,Chris Anthemum or  Rose Bush
Mechanical Engineer,Mechanic + Engineer,1 CPS,Garage or  Construction Yard,Anita Gere/Andy Friese
Botanist,Farmer + Farmer,1 CPS,Greenhouse,Jasmine Woods
Park Ranger,Sheriff + Landscaper,1 CPS,Park,Eva Gladys or  Forrest Greening
Firefighter,Mechanic + Police Officer,1 CPS,Fire Station,Helen Bach or  Paul Slider
Farmer,Engineer + Gardener,1 CPS,Farm or  Greenhouse or  Farmer's Market,Corona Cobb/Brighton Earley
Doctor,Engineer + Nurse,1 CPS,Clinic or  Hospital,Sandra Gupta/Gregory Holmes
Nurse,Homemaker + Gardener,1 CPS,Pharmacy or  Clinic or  Hospital,Leon Downe or  Diana Way
Police Officer,Sheriff + Sheriff,1 CPS,Bank or  Courthouse or Police Station,Barry Cade/Macy Cannister
Vet,Park Ranger + Doctor,1 CPS,Animal Shelter,Doug Breeder or  Ruby Schott
Homemaker,Farmer + Gardener,1 CPS,Farm or  Farmer's Market,Agatha Stewart/Bradley Dunne
Zoologist,Botanist + Vet,1 CPS,Research Lab or  Animal Shelter or  Aquarium,Reena Soros
Plumber,Engineer + Assistant,1 CPS,City Square,Peter Piper/Mary Piper
Fishmonger,Farmer + Plumber,1 CPS,Lakehouse or  Farmer's Market,Brooke Waters
Animal Trainer,Sheriff + Vet,1 CPS,Animal Shelter,Tom Katz/Kitty Katz
Milkmonger,Farmer + Animal Trainer,1 CPS,Farmer's Market,Leia Pasteur or  Moose Moore
Artist,Architect + Dreamer,1 CPS,Arcade or  Gallery,Wendy Warhall
Photographer,Mechanic + Artist,1 CPS,Photo Shop or  Gallery or  Weddings R Us,Winsta Graham
Dentist,Doctor + Artist,1 CPS,Dentist's Office,Sirius D'Kaye or  Ginger Whitehouse
Radiologist,Doctor + Photographer,1 CPS,Hospital or  Dentist's Office,Claire Beams or  Xavier Ray
Cook,Homemaker + Fishmonger,1 CPS,Diner or  Fast Food,Francesca Furter
Chef,Artist + Cook,1 CPS,Restaurant,Alla Denta
Zookeeper,Animal Trainer + Park Ranger,1 CPS,Park,Anna Konda or  Ali Geiter
Construction Worker,Mechanical Engineer + Deputy,1 CPS,Construction Yard,Jacqueline Hammer or  Jack Hummer
Car Designer,Mechanical Engineer + Artist,1 CPS,Garage,Alfred Romero or  Astrid Martin
Athlete,Construction Worker + Farmer,1 CPS,Stadium,Stanley Cupp
Greengrocer,Farmer + Salesman,1 CPS,Ninja HQ or  Farmer's Market,Hazel Nutt
Interior Designer,Architect + Artist,1 CPS,Gallery,Ike Iyer or  Shanda Lear
Olympic Swimmer,Athlete + Fishmonger,1 CPS,Swimming Pool,Brian Thorpe/Michellephelps
Painter,Artist + Construction Worker,1 CPS,Building Firm or  Construction Yard,Jason Pollack
Hotel Manager,Homemaker + Salesman,1 CPS,Hotel Utopia,Habo Hilton
Valet,Car Designer + Hotel Manager,1 CPS,Hotel Utopia,Ella Vader
Pilot,Valet + Mechanic,1 CPS,Space Port,Perez Schute
Flight Attendant,Pilot + Waiter,1 CPS,Space Port,Cybil Passner
Aerospace Engineer,Mechanical Engineer + Pilot,1 CPS,Space Admin or  Observatory,Daniela Bernoulli or  Arthur Burner
Art Dealer,Artist + Salesman,1 CPS,Gallery,Arthur Major
Industrialist,Salesman + Salesman,1 CPS,Enterprise,Robin Banks or  Iona Bentley
Jockey,Animal Trainer + Valet,1 CPS,Stable,Orson Spurs or  Wendy Ryder
Marine Biologist,Vet + Olympic Swimmer,1 CPS,Aquarium,Tad Pohl
Real Estate Agent,Architect + Salesman,1 CPS,Building Firm,Lois Price or  Lewis Price
Soldier,Police Officer + Explorer,1 CPS,Bunker,Private Patty
Waiter,Cook + Assistant,1 CPS,Restaurant or  Diner,Trey Woscher/Clara Tables
Philosopher,Dreamer + Dreamer,1 CPS,University,Noah Lotte
Detective,Police Officer + Philosopher,1 CPS,Police Station or  Law Firm,Mitch Tracey
Lawyer,Sheriff + Salesman,1 CPS,Courthouse or  Law Firm,Sue Swift or  Alvin Mcbeal
Marine,Soldier + Olympic Swimmer,2 CPS,Bunker,Joe Howser
Judge,Lawyer + Sheriff,2 CPS,Courthouse,Judy Schuss or  Gill Tee
Secretary,Mayor + Deputy,2 CPS,Bank or  Enterprise or  Business Center,Phil Cabinet or  Pepper Werk
Writer,Secretary + Dreamer,2 CPS,TV Station or  Cafe or  Publishing House,Jorge Martinez
Poet,Writer + Dreamer,2 CPS,Gallery or  Cafe or  Library,Emmanuel Coloridge or  Olga Frost or  Amelia Bronte
Paramedic,Police Officer + Doctor,2 CPS,Fire Station,Justin Thyme or  Justina Giffy
Lifeguard,Olympic Swimmer + Paramedic,2 CPS,Swimming Pool,Angela Anderson
Model,Photographer + Lifeguard,2 CPS,Photo Shop or  Fashion Studio,Orlando Doom or  Barb E. Dahl
Swimsuit Model,Model + Olympic Swimmer,2 CPS,Fashion Studio,Abraham Crombie or  Tanya Hide
Reporter,Detective + Writer,2 CPS,TV Station or  News Agency,Sab Channel
